key,kind,title,sidebar_title,slug,path,external_url,category,parent_key,nav_order,article_type,disposition,status,technical_risk,technical_status,public_safety_status,related_keys,summary,notes
doc-abspath,article,ABSPATH,ABSPATH,abspath,/docs/wordpress/configuration/abspath/,,WordPress on WP Cloud,hub-wordpress-configuration,1,reference,maintain,approved,B,validated,reviewed_safe,doc-managed-software|doc-default-wp-config|doc-site-constants,Understand why ABSPATH points to managed WordPress core on WP Cloud and use WP_CONTENT_DIR for site-owned files.,
doc-custom-redirects,article,Configure redirects and headers with custom-redirects.php,Configure redirects and headers with custom-redirects.php,custom-redirects,/docs/wordpress/configuration/custom-redirects/,,WordPress on WP Cloud,hub-wordpress-configuration,4,how_to,maintain,approved,A,validated,reviewed_safe,doc-page-cache|doc-edge-cache|doc-troubleshoot-page-edge-cache,"Add early PHP redirects, response headers, and narrow access rules with custom-redirects.php.",
doc-decoupled-headless,article,Decoupled and headless WordPress,Decoupled and headless WordPress,decoupled-headless,/docs/wordpress/decoupled-headless/,,WordPress on WP Cloud,cat-wordpress-management,7,overview,maintain,approved,B,validated,reviewed_safe,doc-rate-limiting|doc-troubleshoot-429-599|hub-cache,"Build WPGraphQL headless sites while controlling build concurrency, repeated requests, caching, and rate limiting.",
doc-default-wp-config,article,Default wp-config.php,Default wp-config.php,default-wp-config,/docs/wordpress/configuration/default-wp-config/,,WordPress on WP Cloud,hub-wordpress-configuration,2,reference,maintain,approved,B,validated,reviewed_safe,doc-abspath|doc-site-constants|doc-database-credentials,Recreate the default WP Cloud wp-config.php structure without replacing managed database settings.,
doc-yoast-indexables,article,Repair Yoast indexables,Repair Yoast indexables,yoast-indexables,/docs/wordpress/yoast-indexables/,,WordPress on WP Cloud,cat-wordpress-management,8,how_to,maintain,approved,B,validated,reviewed_safe,doc-cloning|doc-domain-verification-records|doc-useful-wp-cli-commands,Rebuild Yoast indexables after a clone or domain change so canonical URLs use the current domain.,
hub-runtime-software,topic_hub,Software and versions,Software and versions,software-versions,/docs/wordpress/software-versions/,,WordPress on WP Cloud,cat-wordpress-management,2,overview,maintain,ready_for_review,C,validated,reviewed_safe,doc-abspath|doc-custom-redirects|doc-decoupled-headless,"Understand the WordPress and PHP versions, managed software, and plugin compatibility boundaries on WP Cloud.","Replace the empty Software & Environments parent with a useful route to WordPress, PHP, and managed-software guidance."
doc-site-constants,article,Site constants,Site constants,site-constants,/docs/wordpress/configuration/site-constants/,,WordPress on WP Cloud,hub-wordpress-configuration,3,reference,maintain,approved,B,validated,reviewed_safe,doc-abspath|doc-persistent-data|doc-default-wp-config,"Use WP Cloud PHP constants to identify the platform, Atomic Site ID, and host client ID.",
doc-wordpress-email,article,Transactional email,Transactional email,transactional-email,/docs/wordpress/transactional-email/,,WordPress on WP Cloud,cat-wordpress-management,4,overview,maintain,approved,A,validated,reviewed_safe,doc-troubleshoot-email-delivery|doc-webhooks|doc-multisite,"Configure WP Cloud transactional email, DNS authentication, abuse-block handling, and external email service providers.","Cover SMTP behavior, sending limits, DNS records, SPF, DKIM, DMARC, abuse detection, the Email Block API and webhook, alternatives, and provider guidance. Keep time-sensitive SMTP egress ranges out of the article. Basic delivery troubleshooting belongs in the focused troubleshooting article."
doc-multisite,article,WordPress multisite,WordPress multisite,multisite,/docs/wordpress/multisite/,,WordPress on WP Cloud,cat-wordpress-management,5,how_to,maintain,approved,A,validated,reviewed_safe,doc-manage-domains|doc-wordpress-email|doc-domain-verification-records|doc-useful-wp-cli-commands,"Create a WordPress multisite network and configure WP Cloud aliases, canonicalization, cookies, domains, and cache.",
doc-cron-scheduling,article,Cron scheduling,Cron scheduling,cron-scheduling,/docs/wordpress/cron-scheduling/,,WordPress on WP Cloud,cat-wordpress-management,6,overview,maintain,approved,A,validated,reviewed_safe,doc-webhooks|doc-tasks|doc-client-ssh|doc-api-quick-start,"Choose, configure, and monitor WordPress or WP Cloud cron scheduling without assuming exact run times.",Advanced schedules are reserved for approved Managed partners.
hub-wp-cli,topic_hub,WP-CLI,WP-CLI,wp-cli,/docs/wordpress/wp-cli/,,WordPress on WP Cloud,cat-wordpress-management,3,overview,maintain,ready_for_review,C,validated,reviewed_safe,doc-abspath|doc-custom-redirects|doc-decoupled-headless,Use WP-CLI over SSH to manage WordPress and run commands provided on WP Cloud.,Keep the orientation and strict-argument boundary here. Do not repeat command details from child articles.
doc-akismet-jetpack,article,Akismet and Jetpack,Akismet and Jetpack,akismet-jetpack,/docs/wordpress/software-versions/akismet-jetpack/,,WordPress on WP Cloud,hub-runtime-software,1,reference,maintain,approved,B,validated,reviewed_safe,doc-managed-software|doc-blocked-unsupported-plugins|doc-jetpack-backups,Understand the platform-managed Akismet and Jetpack packages and how to unlock one before removal.,
doc-blocked-unsupported-plugins,article,Blocked and unsupported plugins,Blocked and unsupported plugins,blocked-unsupported-plugins,/docs/wordpress/software-versions/blocked-unsupported-plugins/,,WordPress on WP Cloud,hub-runtime-software,2,reference,maintain,approved,A,validated,reviewed_safe,doc-managed-software|doc-akismet-jetpack|doc-php-versions,"Review platform-blocked plugins, built-in caching conflicts, server requirements, and partner-specific restrictions.",
doc-php-versions,article,PHP lifecycle and supported versions,PHP lifecycle and supported versions,php-versions,/docs/wordpress/software-versions/php-versions/,,WordPress on WP Cloud,hub-runtime-software,3,reference,maintain,approved,A,validated,reviewed_safe,doc-wordpress-versions|doc-managed-software|doc-site-meta,"Check available PHP versions, manage a site's version, and plan customer upgrades before a version retires.",
doc-managed-software,article,Symlinks and managed software,Symlinks and managed software,managed-software,/docs/wordpress/software-versions/managed-software/,,WordPress on WP Cloud,hub-runtime-software,4,overview,maintain,approved,A,validated,reviewed_safe,doc-managed-software-wp-cli|doc-wordpress-versions|doc-akismet-jetpack|doc-partner-support-tiers,"Understand WP Cloud symlinks, platform and client-managed software, external repositories, deployment, and rollback channels.",Keep the architecture and workflows here. Add managed plugin and theme details only after repository and deployment behavior is verified. Custom chroots are available only to Managed partners and require account-level approval and configuration.
doc-wordpress-versions,article,WordPress versions,WordPress versions,wordpress-versions,/docs/wordpress/software-versions/wordpress-versions/,,WordPress on WP Cloud,hub-runtime-software,5,reference,maintain,approved,A,validated,reviewed_safe,doc-managed-software|doc-php-versions|doc-webhooks,Understand WP Cloud managed WordPress version channels and check or change a site's channel.,
doc-install-composer-wp-cli-packages,article,Install Composer and WP-CLI packages,Install Composer and WP-CLI packages,install-composer-wp-cli-packages,/docs/wordpress/wp-cli/install-composer-wp-cli-packages/,,WordPress on WP Cloud,hub-wp-cli,1,how_to,maintain,approved,B,validated,reviewed_safe,doc-client-ssh|doc-useful-wp-cli-commands|doc-troubleshoot-site-performance,Install Composer and site-scoped WP-CLI packages over Client SSH on WP Cloud.,
doc-managed-software-wp-cli,article,Manage platform software with WP-CLI,Manage platform software with WP-CLI,managed-software-wp-cli,/docs/wordpress/wp-cli/managed-software-wp-cli/,,WordPress on WP Cloud,hub-wp-cli,2,reference,maintain,approved,B,validated,reviewed_safe,doc-managed-software|doc-useful-wp-cli-commands|doc-install-composer-wp-cli-packages,Switch eligible plugins and themes between managed symlinks and site-owned installations with WP-CLI.,
doc-useful-wp-cli-commands,article,Useful WP-CLI commands,Useful WP-CLI commands,useful-wp-cli-commands,/docs/wordpress/wp-cli/useful-wp-cli-commands/,,WordPress on WP Cloud,hub-wp-cli,3,reference,maintain,approved,B,validated,reviewed_safe,doc-managed-software-wp-cli|doc-install-composer-wp-cli-packages|doc-error-logs,"Use common WordPress and WP Cloud WP-CLI commands for plugins, themes, cache, content, errors, and troubleshooting.",
cat-performance,category_hub,Performance,Performance,performance,/docs/performance/,,Performance,,7,overview,maintain,not_started,C,not_started,not_started,hub-cache|doc-autoloaded-options,"Use WP Cloud caching, image services, and performance controls effectively.",Use one short term description; the theme lists child categories and articles automatically.
hub-cache,topic_hub,Cache,Cache,cache,/docs/performance/cache/,,Performance,cat-performance,1,overview,maintain,approved,C,validated,reviewed_safe,doc-edge-cache|doc-page-cache|doc-object-cache|doc-troubleshoot-page-edge-cache,"WP Cloud uses Edge Cache, Page Cache, and Object Cache to store responses and WordPress data at different layers. Choose a guide below for the cache you need to manage or troubleshoot.",Use one short term description; the theme lists child articles automatically.
doc-autoloaded-options,article,Audit autoloaded options,Autoloaded Options,autoloaded-options,/docs/performance/autoloaded-options/,,Performance,cat-performance,3,how_to,maintain,needs_technical_review,B,in_review,reviewed_safe,doc-object-cache,"Partner engineers and support teams can measure autoloaded WordPress options, identify the largest entries, and plan a safe investigation.",Keep bloated-cache and autoloaded-options context together. Do not place this under Cache because autoloading is a database and WordPress performance concern.
hub-image-optimization,topic_hub,Image optimization,Image optimization,image-optimization,/docs/performance/image-optimization/,,Performance,cat-performance,2,overview,maintain,ready_for_review,C,validated,reviewed_safe,hub-cache|doc-autoloaded-options,Transform uploaded images at the edge and reduce stored intermediate image files on WP Cloud.,
doc-static-files-lightweight-404s,article,Configure lightweight 404s for static files,Lightweight 404s,lightweight-404s-static-files,/docs/performance/lightweight-404s-static-files/,,Performance,cat-performance,4,overview,maintain,approved,B,validated,reviewed_safe,doc-troubleshoot-site-performance|doc-rate-limiting|doc-troubleshoot-429-599,Serve missing static files without loading WordPress and reduce unnecessary PHP and CPU use.,
doc-edge-cache,article,Edge Cache,Edge Cache,edge-cache,/docs/performance/cache/edge-cache/,,Performance,hub-cache,2,overview,maintain,approved,A,validated,reviewed_safe,doc-page-cache|doc-ddos-defensive-mode|doc-troubleshoot-page-edge-cache|ext-api-reference,"Partner engineers and support teams can understand, manage, purge, and verify Edge Cache through WP Admin, the WP Cloud API, and WP-CLI.","Keep architecture, status headers, plugin UI, invalidation, API context, and WP-CLI management. Move Defensive Mode sections to doc-ddos-defensive-mode and cache-failure material to doc-troubleshoot-page-edge-cache."
doc-page-cache,article,Page Cache,Page Cache,page-cache,/docs/performance/cache/page-cache/,,Performance,hub-cache,1,overview,maintain,approved,A,validated,reviewed_safe,doc-edge-cache|doc-object-cache|doc-troubleshoot-page-edge-cache,"Learn how WP Cloud Page Cache works, verify Batcache hits, change cache lifetime, and configure narrowly scoped bypasses.","Keep default behavior, verification, Batcache customization, bypass examples, and safety boundaries together for the MVP. Move common failure diagnosis to doc-troubleshoot-page-edge-cache."
doc-object-cache,article,Object Cache,Object Cache,object-cache,/docs/performance/cache/object-cache/,,Performance,hub-cache,3,overview,maintain,approved,A,validated,reviewed_safe,doc-cache-slow-database-queries|doc-autoloaded-options|doc-page-cache|doc-troubleshoot-site-performance|doc-apm,"Learn how WP Cloud's persistent Object Cache stores WordPress data, how transients behave, and how to troubleshoot caching.","Keep behavior, transients, `wp_cache` functions, bypass cautions, and routine diagnostics here. Keep the slow-query tutorial and autoloaded-options guidance in their focused articles."
doc-cache-slow-database-queries,article,Cache slow database queries,Cache Slow Queries,cache-slow-database-queries,/docs/troubleshooting/cache-slow-database-queries/,,Troubleshooting,cat-troubleshooting,5,tutorial,maintain,approved,A,validated,reviewed_safe,doc-object-cache|doc-autoloaded-options,"Find a repeated slow database query, cache a neutral result safely, add invalidation, and verify cache hits on a staging site.",Keep this as the distinct developer implementation tutorial.
doc-image-transformation,article,Image transformation,Image transformation,image-transformation,/docs/performance/image-optimization/image-transformation/,,Performance,hub-image-optimization,1,reference,maintain,approved,B,validated,reviewed_safe,doc-intermediate-image-offloading|doc-edge-cache,"Resize, crop, and transform uploaded images through WP Cloud's edge network without storing each variation.",
doc-intermediate-image-offloading,article,Offload image sub-sizes,Offload image sub-sizes,offload-image-sub-sizes,/docs/performance/image-optimization/offload-image-sub-sizes/,,Performance,hub-image-optimization,2,how_to,maintain,approved,B,validated,reviewed_safe,doc-image-transformation|doc-site-meta|doc-useful-wp-cli-commands,Reduce stored WordPress image subsizes and serve requested intermediate images from the original upload.,
cat-security,category_hub,Security,Security,security,/docs/security/,,Security,,8,overview,maintain,not_started,C,not_started,not_started,doc-ddos-defensive-mode|doc-rate-limiting,"Understand and use WP Cloud traffic, login, and site-security protections.",Use one short term description; the theme lists child categories and articles automatically.
doc-ddos-defensive-mode,article,Defensive Mode,Defensive Mode,defensive-mode,/docs/security/traffic-protection/defensive-mode/,,Security,hub-security-traffic-protection,2,overview,maintain,approved,A,validated,reviewed_safe,doc-ddos-protection|doc-edge-cache|doc-rate-limiting|doc-troubleshoot-429-599|ext-api-reference,Use an on-demand browser challenge to reduce unwanted automated traffic during a bot or DDoS event.,"Keep all Defensive Mode behavior, limits, WP-CLI, API, automatic-mode, and validation guidance here."
doc-rate-limiting,article,Rate limiting,Rate Limiting,rate-limiting,/docs/security/traffic-protection/rate-limiting/,,Security,hub-security-traffic-protection,3,overview,maintain,approved,A,validated,reviewed_safe,doc-ddos-protection|doc-ddos-defensive-mode|doc-troubleshoot-429-599,"Understand how WP Cloud classifies excessive requests, when HTTP 429 responses are expected, and when they require investigation.","Keep rate-limiting behavior, the 429 overview, bot traffic, and platform policy boundaries here. Detailed error diagnosis and 599 resource limiting belong in the focused troubleshooting article. Missing user agents can make legitimate automated requests resemble abusive traffic and increase their chance of matching a rate limit."
doc-bot-protection,article,Bot protection,Bot protection,bot-protection,/docs/security/login-protection/bot-protection/,,Security,hub-security-login-protection,1,how_to,maintain,approved,A,validated,reviewed_safe,doc-password-protection|doc-error-logs|doc-compromised-sites,"Enable WP Cloud Bot Protection for standard WordPress login and password-reset forms, then test and troubleshoot it safely.","Preserve availability, rollout behavior, logging, and troubleshooting details."
doc-http-security-headers,article,HTTP and security headers,HTTP and security headers,http-security-headers,/docs/security/site-security/http-security-headers/,,Security,hub-security-site-security,1,how_to,maintain,approved,A,validated,reviewed_safe,doc-custom-redirects|doc-page-cache|doc-edge-cache|doc-tls-certificates,Understand WP Cloud response-header boundaries and add appropriate application headers with WordPress or custom-redirects.php.,
doc-firewalls,article,Network and web application firewalls,Network and web application firewalls,firewalls,/docs/security/traffic-protection/firewalls/,,Security,hub-security-traffic-protection,4,overview,maintain,approved,A,validated,reviewed_safe,doc-reserved-http-status-codes|doc-rate-limiting|doc-client-ssh,"Understand WP Cloud inbound access, outbound firewall rules, and web application firewall responses.",
doc-password-protection,article,Password protection,Password protection,password-protection,/docs/security/login-protection/password-protection/,,Security,hub-security-login-protection,2,how_to,maintain,approved,A,validated,reviewed_safe,doc-bot-protection|doc-compromised-sites|doc-error-logs,"Understand WP Cloud Password Protection, override the host default per site, and test protected WordPress account flows.",
doc-filesystem-permissions,article,PHP filesystem access permissions,PHP filesystem access permissions,filesystem-permissions,/docs/security/site-security/filesystem-permissions/,,Security,hub-security-site-security,2,reference,maintain,approved,A,validated,reviewed_safe,doc-site-meta|doc-compromised-sites|doc-client-ssh,Control whether PHP requests can write to a WP Cloud site's filesystem with the php_fs_permissions site meta value.,
doc-reserved-http-status-codes,article,WP Cloud HTTP status codes,HTTP status codes,wp-cloud-http-status-codes,/docs/troubleshooting/wp-cloud-http-status-codes/,,Troubleshooting,cat-troubleshooting,3,reference,maintain,approved,A,validated,reviewed_safe,doc-site-meta|doc-rate-limiting|doc-firewalls|doc-troubleshoot-429-599,"Understand HTTP status codes reserved for WP Cloud suspension, maintenance, security, and rate-limiting responses.",
doc-compromised-sites,article,Respond to a compromised site,Respond to a compromised site,compromised-sites,/docs/security/site-security/compromised-sites/,,Security,hub-security-site-security,4,troubleshooting,maintain,needs_technical_review,A,validated,reviewed_safe,doc-malware-scanning|doc-filesystem-permissions|doc-managed-software|doc-password-protection,"Recognize, contain, clean, and secure a compromised WordPress site on WP Cloud without destroying customer data.",
doc-malware-scanning,article,Scan a site for malware,Scan a site for malware,malware-scanning,/docs/security/site-security/malware-scanning/,,Security,hub-security-site-security,3,how_to,maintain,approved,A,validated,reviewed_safe,doc-compromised-sites|doc-webhooks|doc-client-ssh,"Run a one-site WP Cloud malware scan, monitor its response ticket and webhooks, and review detections safely.",
doc-cloudflare,article,Cloudflare and WP Cloud,Cloudflare,cloudflare,/docs/sites/domains/cloudflare/,,Sites,hub-domains,5,how_to,maintain,approved,A,validated,reviewed_safe,doc-ddos-protection|doc-rate-limiting|hub-cache|doc-tls-certificates,"Host partners can advise end users to avoid Cloudflare proxying or configure it to preserve WP Cloud caching, traffic protection, and HTTPS behavior.",
cat-infrastructure,category_hub,Infrastructure,Infrastructure,infrastructure,/docs/infrastructure/,,Infrastructure,,11,overview,maintain,ready_for_review,C,validated,reviewed_safe,cat-getting-started|cat-api-reference|cat-sites,"Understand the servers, network, failover, and platform settings behind WP Cloud.","Category hub for network ranges, server configuration, failover, and origin and edge architecture."
doc-automatic-failover,article,Automated failover,Automated failover,automated-failover,/docs/infrastructure/automated-failover/,,Infrastructure,cat-infrastructure,1,overview,maintain,approved,A,validated,reviewed_safe,doc-ip-ranges|doc-origin-edge-servers|doc-server-specs-settings,Understand how WP Cloud moves traffic to a secondary origin and how cached graceful failover differs.,
doc-ip-ranges,article,IP ranges,IP ranges,ip-ranges,/docs/infrastructure/ip-ranges/,,Infrastructure,cat-infrastructure,2,reference,maintain,approved,A,validated,reviewed_safe,doc-automatic-failover|doc-origin-edge-servers|doc-server-specs-settings,"Understand WP Cloud inbound, shared outbound, and site outbound IP addresses and when each can change.",
doc-origin-edge-servers,article,Origin and edge servers,Origin and edge servers,origin-edge-servers,/docs/infrastructure/origin-edge-servers/,,Infrastructure,cat-infrastructure,3,overview,maintain,approved,A,validated,reviewed_safe,doc-automatic-failover|doc-ip-ranges|doc-server-specs-settings,"Understand how WP Cloud origin and edge servers route requests, place site data, and serve cached responses.",
doc-server-specs-settings,article,Server specifications and settings,Server specifications and settings,server-specs-settings,/docs/infrastructure/server-specs-settings/,,Infrastructure,cat-infrastructure,4,reference,maintain,approved,A,validated,reviewed_safe,doc-automatic-failover|doc-ip-ranges|doc-origin-edge-servers,"Reference WP Cloud server specifications, PHP settings, modules, and configuration boundaries.",
cat-access-users,category_hub,Site access,Site access,site-access,/docs/site-access/,,Site access,,5,overview,maintain,approved,C,validated,reviewed_safe,hub-ssh-sftp|cat-getting-started|cat-api-reference|cat-sites,"Connect partner teams, site users, and tools to sites, files, and databases.","Category hub for SSH, SFTP, database credentials, and phpMyAdmin access."
doc-database-credentials,article,Database credentials,Database credentials,database-credentials,/docs/site-access/database-access/database-credentials/,,Site access,hub-database-access,1,how_to,maintain,approved,A,validated,reviewed_safe,doc-phpmyadmin|doc-ssh-sftp,"Use WP Cloud-managed database credentials safely, reset a password, and understand the limits on direct database access.",
doc-phpmyadmin,article,phpMyAdmin,phpMyAdmin,phpmyadmin,/docs/site-access/database-access/phpmyadmin/,,Site access,hub-database-access,2,how_to,maintain,approved,A,validated,reviewed_safe,doc-database-credentials|doc-ssh-sftp,Generate a time-limited phpMyAdmin login URL and work safely with a WP Cloud site database.,Keep this article focused on phpMyAdmin. Summarize the access boundary elsewhere and link here.
